,labels,values,std
0,L11H0,-129.831,76.52943
1,L8H5,-127.034836,69.972176
2,L10H0,-100.82616,69.103966
3,L7H6,-89.04106,60.155678
4,L9H6,-63.98788,55.608162
5,L9H9,-58.55843,61.149185
6,L8H10,-52.414948,50.174675
7,L10H10,-44.863346,43.280994
8,L6H6,-35.992897,31.281008
9,L0H8,-24.805363,21.042995
10,L2H11,-22.005655,14.010073
11,L7H10,-16.565342,29.12681
12,L9H8,-16.094755,30.937353
13,L7H2,-15.7805805,28.848362
14,L11H2,-13.527385,22.70143
15,L6H2,-11.948902,12.090097
16,L9H0,-11.404617,14.674005
17,L11H6,-11.304653,13.117447
18,L1H3,-11.175431,8.771107
19,L11H7,-10.4583,15.143627
20,L9H3,-10.212447,30.313835
21,L9H5,-10.063703,10.089255
22,L7H8,-8.97458,14.961547
23,L6H5,-8.448347,11.225189
24,L11H4,-8.209914,10.866275
25,L6H7,-7.797563,10.286299
26,L10H6,-7.4492645,16.502645
27,L10H3,-6.8450437,20.895376
28,L10H2,-5.6483216,7.097042
29,L10H8,-5.3681297,4.8117604
30,L8H0,-5.302141,15.972744
31,L4H4,-5.082377,8.925465
32,L5H1,-4.3805213,24.777493
33,L1H4,-3.9408092,6.693315
34,L11H1,-3.8234591,7.180547
35,L7H9,-3.608204,13.463015
36,L7H3,-3.0774012,13.082738
37,L4H6,-2.3790739,8.115113
38,L11H5,-2.3115675,5.6304593
39,L1H6,-2.2716486,3.7019267
40,L11H3,-1.9972326,10.907132
41,L7H1,-1.9746015,12.345969
42,L3H5,-1.2986789,5.9746237
43,L9H2,-0.9477315,5.367306
44,L3H1,-0.89753777,4.3809686
45,L3H0,-0.8825429,4.2399716
46,L5H11,-0.80671924,7.227564
47,L8H11,-0.7821309,8.366414
48,L9H7,-0.7483191,6.183702
49,L4H2,-0.7227107,3.9479775
50,L3H7,-0.38320073,4.7041626
51,L0H0,-0.16844764,1.5974084
52,L9H11,-0.14001256,11.081555
53,L2H1,-0.12513791,3.8687243
54,L3H8,-0.09296533,4.070116
55,L6H1,-0.06864564,6.3835545
56,L6H4,-0.023347883,10.001141
57,L1H8,0.05376269,4.029852
58,L1H1,0.15494503,4.8053603
59,L0H5,0.2888016,2.9444792
60,L1H9,0.33296746,2.8528614
61,L4H3,0.3591615,4.9159546
62,L0H2,0.5111363,2.0432422
63,L3H10,0.52339995,5.5593987
64,L5H2,0.5325542,4.970655
65,L2H7,0.62484056,2.5085552
66,L0H4,0.71581465,1.6541451
67,L3H9,0.7209235,4.202483
68,L5H4,0.7347981,3.136739
69,L3H2,0.86152977,3.4715114
70,L8H4,0.86526215,2.8920345
71,L4H0,0.97969663,2.9425793
72,L10H5,1.0111953,4.410846
73,L0H6,1.052439,6.577961
74,L4H10,1.1240368,3.0841558
75,L7H11,1.5427558,5.6821404
76,L8H2,1.5918487,9.49022
77,L7H5,1.6901832,7.7033515
78,L8H8,1.782259,4.9733624
79,L3H4,1.8115084,4.669512
80,L5H8,1.8305914,7.064627
81,L4H5,1.9660163,2.4953883
82,L2H5,2.044212,6.6009097
83,L1H7,2.3877072,5.469543
84,L6H0,2.4496202,7.452231
85,L1H0,2.6380482,3.5188189
86,L3H11,2.6898541,6.0874534
87,L9H10,2.8183434,4.091707
88,L9H4,2.8883674,3.9913096
89,L4H8,3.0532968,4.7257776
90,L0H7,3.1318057,5.989109
91,L0H3,3.1365235,4.787837
92,L7H4,3.1373208,6.2283425
93,L3H6,3.2113917,5.7493787
94,L4H11,3.4276197,5.908485
95,L5H6,3.6018457,3.7192543
96,L5H3,3.6055834,4.7158017
97,L9H1,3.6276023,4.020896
98,L0H1,3.6574593,10.666966
99,L5H5,3.873978,10.891089
100,L2H8,3.9133322,6.6372886
101,L2H9,4.118959,7.7753105
102,L10H4,4.250954,4.846665
103,L8H6,4.443125,22.0813
104,L5H7,4.5230885,7.3905845
105,L5H0,4.6106195,9.570727
106,L5H10,4.8067336,9.1933155
107,L2H6,4.9375253,7.5427203
108,L4H9,5.0228915,5.148435
109,L7H0,5.110061,4.036293
110,L6H10,5.287913,13.52844
111,L2H4,5.4231753,6.271766
112,L2H2,5.4929976,5.2096148
113,L1H5,5.500398,7.271662
114,L10H11,5.5872107,10.435234
115,L6H9,5.664598,12.156515
116,L2H0,5.692567,10.685189
117,L6H8,5.894599,9.283979
118,L0H11,6.173494,13.9848175
119,L5H9,6.3462286,13.188564
120,L7H7,6.5585856,14.456033
121,L0H9,6.8952804,14.951857
122,L2H3,7.3273106,8.6332655
123,L1H2,7.4628687,9.626281
124,L6H11,7.4843698,7.307835
125,L4H1,7.8513246,6.3830223
126,L1H11,8.197254,8.668004
127,L11H11,8.260358,13.563228
128,L8H9,8.440865,14.853611
129,L10H7,8.519366,30.526785
130,L3H3,8.968288,7.643511
131,L6H3,9.39347,9.743688
132,L10H9,9.66341,5.9421325
133,L1H10,9.668534,6.032675
134,L11H9,9.773092,19.096075
135,L4H7,9.959874,8.746955
136,L8H3,10.252794,8.147599
137,L11H8,11.2762575,17.9429
138,L8H7,11.640027,10.702661
139,L2H10,12.147824,9.508002
140,L10H1,18.159122,15.338533
141,L8H1,19.161703,13.948678
142,L0H10,22.742092,16.706232
143,L11H10,31.319185,13.248793
