,index,column,value
0,0,0,-7.105351
1,1,0,-6.590226
2,2,0,-7.5660276
3,3,0,-6.8842187
4,4,0,-5.677641
5,5,0,-5.6841397
6,6,0,-6.826395
7,7,0,-8.224005
8,8,0,-9.983954
9,9,0,-14.900628
10,10,0,-18.835173
11,11,0,-19.541582
12,0,1,14.602793
13,1,1,11.524293
14,2,1,9.985839
15,3,1,8.143811
16,4,1,6.773684
17,5,1,5.520773
18,6,1,3.3078172
19,7,1,1.9649677
20,8,1,0.59218353
21,9,1,-1.7934339
22,10,1,-3.6742961
23,11,1,-6.903182
24,0,2,1.015362
25,1,2,0.47507438
26,2,2,0.78919625
27,3,2,1.1440656
28,4,2,1.0758017
29,5,2,0.80090725
30,6,2,1.9709275
31,7,2,1.4734821
32,8,2,1.1944479
33,9,2,1.780201
34,10,2,-0.12253799
35,11,2,-5.050298
36,0,3,1.6273545
37,1,3,2.1921678
38,2,3,2.3352122
39,3,3,2.2999313
40,4,3,2.3850172
41,5,3,2.5705135
42,6,3,3.9956617
43,7,3,4.6123533
44,8,3,4.7804904
45,9,3,6.0547075
46,10,3,3.7952845
47,11,3,-0.3097923
48,0,4,-1.4140811
49,1,4,-0.5797284
50,2,4,0.22658475
51,3,4,0.412752
52,4,4,0.48228034
53,5,4,0.6844929
54,6,4,1.7868977
55,7,4,1.8723997
56,8,4,3.2592523
57,9,4,6.316205
58,10,4,6.236743
59,11,4,4.9973626
60,0,5,5.422989
61,1,5,6.3020267
62,2,5,7.5826874
63,3,5,8.279477
64,4,5,9.129369
65,5,5,10.808517
66,6,5,13.413424
67,7,5,15.972976
68,8,5,22.87985
69,9,5,33.058224
70,10,5,37.447746
71,11,5,27.104462
72,0,6,6.668591
73,1,6,6.297724
74,2,6,5.733505
75,3,6,4.9285975
76,4,6,3.753476
77,5,6,3.4221165
78,6,6,2.052954
79,7,6,3.2609038
80,8,6,2.8765676
81,9,6,-0.16618341
82,10,6,0.60860515
83,11,6,6.642517
84,0,7,1.0476738
85,1,7,1.6449134
86,2,7,1.5858998
87,3,7,1.3764213
88,4,7,1.5881177
89,5,7,1.5258216
90,6,7,2.0344653
91,7,7,1.3421341
92,8,7,0.42024505
93,9,7,2.0305274
94,10,7,5.798356
95,11,7,7.192164
96,0,8,13.73837
97,1,8,10.455444
98,2,8,9.729806
99,3,8,7.0627155
100,4,8,5.305829
101,5,8,4.4106007
102,6,8,2.522426
103,7,8,2.3491647
104,8,8,0.23952192
105,9,8,-0.67570055
106,10,8,0.019416602
107,11,8,0.6235243
108,0,9,0.9912894
109,1,9,-0.07461516
110,2,9,0.40458262
111,3,9,0.011420599
112,4,9,-0.37528363
113,5,9,-0.562661
114,6,9,-0.78985035
115,7,9,-1.2660598
116,8,9,-2.8627038
117,9,9,-3.482661
118,10,9,-3.0432098
119,11,9,-1.8858697
120,0,10,1.567339
121,1,10,1.7552978
122,2,10,2.2543116
123,3,10,2.026241
124,4,10,1.2676514
125,5,10,1.0099967
126,6,10,0.67319804
127,7,10,1.0887426
128,8,10,0.23490015
129,9,10,-0.6415125
130,10,10,0.37217993
131,11,10,2.6252947
132,0,11,-1.1999522
133,1,11,-0.9705694
134,2,11,-0.74179107
135,3,11,-0.67461836
136,4,11,-0.9365708
137,5,11,-1.6001099
138,6,11,-2.0697036
139,7,11,-2.0211725
140,8,11,-2.4229887
141,9,11,-2.658222
142,10,11,-0.3421859
143,11,11,3.839088
144,0,12,5.820406
145,1,12,6.0057154
146,2,12,7.0184894
147,3,12,8.035818
148,4,12,8.540797
149,5,12,13.958832
150,6,12,16.519297
151,7,12,21.124752
152,8,12,22.710024
153,9,12,24.478245
154,10,12,29.788214
155,11,12,28.60229
