model_name,orthogonalize,Premise,target_true,target_false,other
gpt2,True,Redefine,491,8947,562
gpt2-medium,True,Redefine,815,8420,765
gpt2-large,True,Redefine,1142,7923,935
gpt2-xl,True,Redefine,2240,6671,1089
gpt2,True,Assume,541,8440,1019
gpt2-medium,True,Assume,802,8296,902
gpt2-large,True,Assume,1504,7287,1209
gpt2-xl,True,Assume,2072,6785,1143
gpt2,True,Suppose,546,8608,846
gpt2-medium,True,Suppose,755,8262,983
gpt2-large,True,Suppose,1540,7186,1274
gpt2-xl,True,Suppose,1824,6863,1313
gpt2,True,Context,711,8421,868
gpt2-medium,True,Context,872,8311,817
gpt2-large,True,Context,1124,8026,850
gpt2-xl,True,Context,2315,6660,1025
gpt2,False,Redefine,413,9547,40
gpt2-medium,False,Redefine,431,9531,38
gpt2-large,False,Redefine,1020,8959,21
gpt2-xl,False,Redefine,726,9246,28
gpt2,False,Assume,640,9203,157
gpt2-medium,False,Assume,1016,8773,211
gpt2-large,False,Assume,2324,7412,264
gpt2-xl,False,Assume,1050,8890,60
gpt2,False,Suppose,470,9443,87
gpt2-medium,False,Suppose,892,8848,260
gpt2-large,False,Suppose,2212,7352,436
gpt2-xl,False,Suppose,1366,8367,267
gpt2,False,Context,542,9357,101
gpt2-medium,False,Context,550,9402,48
gpt2-large,False,Context,835,9154,11
gpt2-xl,False,Context,854,9117,29
